ID,Aboriginal,Age,Major field of study,Years of Education,Provincial Minimum Wage,Census Metropolitan Area,Part Time Job,Generation Status,Married,Industry Sectors,Occupation Major Groups,Occupation Broad Categories,Sex,Visible Minority,Wages
499102,1,67,0,13,10.75,499,0,4,1,7,3,1,1,0,26000
201973,0,67,1,13,11.25,537,1,4,1,15,12,4,1,0,30000
229784,1,17,0,12,10.5,999,0,4,0,7,88,88,1,0,6000
799631,0,27,0,9,10.75,462,0,4,1,7,23,7,1,0,23000
272726,0,22,0,12,10.5,999,0,4,0,6,27,8,1,0,5000
476410,0,27,0,9,11.25,535,0,4,0,11,18,7,1,0,40000
285153,0,17,0,12,11.25,532,1,4,0,17,21,7,1,0,8000
75337,0,32,0,14,10.75,999,1,4,0,14,15,5,0,0,2000
13309,0,27,0,13,11.25,535,1,1,0,17,23,7,0,1,19000
673534,0,37,0,12,11.25,559,1,4,1,15,12,4,1,0,32000
661500,0,17,0,12,10.45,933,1,1,0,17,21,7,1,1,4000
686029,0,17,0,9,10.75,462,1,4,0,7,22,7,0,0,1
360493,0,32,0,12,11.25,999,0,4,1,19,16,5,1,0,64000
624472,0,27,0,16,11.25,505,0,4,1,18,14,5,0,0,57000
134933,0,27,0,16,11.25,577,0,4,1,5,30,10,1,0,5000
467447,0,27,0,12,11.25,577,0,4,0,4,26,8,1,0,32000
633571,0,32,0,9,10.45,933,0,1,1,5,22,7,1,1,42000
315254,0,52,0,9,10.65,999,1,4,1,5,23,7,1,0,15000
319260,0,22,0,17,10.75,499,0,4,1,12,14,5,0,0,25000
753220,0,67,0,9,11.25,535,0,1,1,16,19,7,1,1,21000
179085,0,27,0,14,11.25,535,0,1,1,17,3,1,1,1,34000
563367,0,22,0,14,10.75,462,0,4,0,13,23,7,0,0,21000
893152,0,57,0,16,10.75,462,0,4,1,12,2,1,0,0,110000
382663,0,42,0,12,10.75,999,0,4,1,15,23,7,0,0,29000
56949,0,27,0,12,11.25,535,0,2,1,17,19,7,1,1,38000
873343,0,32,0,14,11.25,535,1,1,1,14,8,2,0,1,13000
371831,0,17,0,12,10.75,462,1,1,0,7,20,7,0,1,15000
535301,0,27,1,17,10.5,799,0,4,1,3,9,3,0,0,66000
727855,0,47,1,9,11.25,535,0,1,0,5,29,10,1,1,72000
816960,0,57,0,12,10.75,999,0,4,1,18,23,7,0,0,48000
803007,0,42,0,12,11.25,535,0,1,1,9,21,7,1,0,41000
282345,0,22,0,9,11.25,535,0,2,0,7,22,7,1,1,2000
673303,0,47,0,9,11.25,535,0,1,0,17,23,7,0,1,17000
371383,0,17,0,12,11.25,588,1,4,0,7,20,7,1,0,10000
36586,0,27,0,14,11.25,539,0,4,1,7,29,10,1,0,43000
265659,0,27,0,16,11.25,537,0,4,1,15,11,4,0,0,60000
584916,0,17,0,12,11.25,999,0,4,0,7,7,2,1,0,8000
248297,0,32,0,16,10.75,421,0,1,1,10,21,7,0,1,14000
338748,0,57,1,9,11.25,535,0,1,1,5,30,10,1,1,67000
725298,0,27,0,12,11.25,535,0,1,0,6,30,10,1,1,44000
660073,0,32,0,14,11.25,577,0,4,0,15,8,2,0,0,25000
186658,0,52,0,13,10.75,999,1,4,1,8,27,8,1,0,14000
305859,0,22,0,12,11.25,535,1,2,0,8,7,2,1,1,26000
451624,0,32,0,9,11.25,535,0,1,1,17,19,7,1,1,48000
328106,0,32,0,16,10.75,999,0,4,0,7,3,1,0,0,18000
119286,0,27,0,16,10.75,462,0,1,0,7,20,7,1,1,21000
8377,0,37,0,17,10.45,933,0,1,1,12,9,3,1,0,51000
292709,0,27,0,13,11.25,535,0,2,1,5,7,2,1,1,35000
531198,0,32,0,9,10.75,999,0,4,1,7,20,7,0,0,18000
864747,0,27,0,13,10.75,421,0,4,1,18,25,8,1,0,33000
459989,0,42,0,13,11.2,999,1,1,1,17,23,7,0,0,14000
585672,0,47,0,13,10.45,935,0,4,0,15,12,4,0,0,25000
162874,0,27,0,16,10.75,499,0,4,1,7,22,7,0,0,18000
267699,0,32,0,12,11.25,535,0,1,0,15,23,7,0,1,47000
684895,0,67,0,12,11.25,555,1,3,1,7,20,7,0,0,10000
781409,0,42,0,13,10.45,933,0,1,0,15,8,2,0,1,35000
832176,0,32,0,16,10.75,421,0,1,1,7,20,7,0,1,5000
904718,0,37,1,18,11.25,535,0,1,1,12,9,3,1,1,110000
847339,0,27,0,9,10.75,462,0,4,1,7,3,1,1,0,50000
397995,0,62,0,12,10.75,999,0,4,1,5,7,2,1,0,54000
869270,0,32,0,16,10.5,999,1,1,1,88,88,88,0,1,1
386401,0,47,0,12,10.75,499,0,4,1,7,22,7,0,0,17000
549280,0,37,1,15,10.45,933,1,1,1,7,24,8,1,1,8000
318791,0,32,0,12,10.75,462,0,4,1,10,7,2,0,0,37000
353981,0,22,1,13,11.25,535,0,4,0,12,10,3,1,0,33000
840372,0,22,0,13,10.45,933,1,1,0,15,12,4,0,1,10000
564620,0,52,0,14,10.7,205,1,4,1,15,12,4,0,0,23000
570076,0,57,0,12,11.25,535,0,1,1,13,21,7,1,1,30000
849453,0,62,0,9,11.25,541,0,4,1,5,23,7,1,0,36000
552833,0,27,1,15,11.2,825,0,1,1,8,25,8,1,1,54000
323829,0,22,0,12,10.45,933,0,3,1,17,21,7,1,0,18000
20526,0,47,0,13,10.75,462,1,1,1,13,21,7,1,1,9000
407193,0,47,0,17,11.25,535,0,1,1,10,5,2,1,1,64000
650982,0,22,0,9,10.45,999,1,4,1,7,20,7,0,0,8000
359061,0,37,0,12,10.75,462,1,1,1,13,23,7,0,1,14000
454271,0,37,0,16,10.45,933,0,4,1,5,19,7,0,0,23000
224981,0,27,1,13,11.25,999,0,4,1,5,30,10,1,0,39000
630532,0,32,0,16,10.75,462,0,1,1,13,23,7,1,1,11000
561584,0,32,0,16,10.75,462,0,1,1,4,6,2,0,1,50000
221477,0,32,0,18,10.75,462,0,1,1,14,13,5,0,1,57000
191028,0,42,0,16,11.2,825,0,1,1,5,30,10,1,1,38000
851391,0,22,1,16,11.25,537,1,4,0,4,26,8,1,0,6000
86506,0,52,0,14,11.25,577,0,2,0,14,6,2,0,0,49000
623376,0,32,0,12,11.25,535,0,3,1,5,30,10,1,0,61000
716059,0,42,0,9,11.25,535,0,3,1,8,23,7,1,0,56000
437875,0,32,0,14,11.0,602,0,4,0,88,21,7,0,0,13000
68238,0,22,0,9,10.75,462,0,3,1,17,88,88,1,1,35000
203981,0,32,0,15,11.25,535,1,1,1,15,11,4,0,1,24000
241864,0,32,0,12,10.45,999,0,4,1,17,3,1,0,0,50000
136754,0,57,0,13,10.75,999,0,4,0,5,26,8,1,0,32000
808706,0,67,0,16,11.2,835,0,1,1,19,6,2,0,1,60000
836261,0,22,0,12,10.7,205,0,3,1,13,21,7,0,0,22000
90681,0,52,0,14,10.75,421,0,4,1,10,6,2,1,0,63000
303280,0,27,0,9,11.25,537,0,3,1,9,7,2,0,0,37000
234729,0,37,0,14,11.2,835,0,1,1,7,88,88,1,1,51000
433858,0,32,0,13,10.75,462,0,4,1,17,21,7,1,0,33000
651649,0,32,0,14,11.25,535,0,1,0,7,12,4,0,1,45000
731457,0,37,1,13,11.2,999,0,1,1,17,3,1,1,1,64000
364005,0,52,0,12,11.2,825,0,3,1,14,6,2,0,0,53000
131571,0,47,0,9,11.25,537,0,2,0,4,26,8,1,0,43000
860036,0,37,0,14,11.25,505,0,3,1,4,88,88,0,0,1
726761,0,37,0,14,10.75,462,0,1,0,13,21,7,0,1,31000
804508,0,22,0,12,10.7,205,1,4,0,88,8,2,0,0,15000
297513,0,27,0,12,11.25,999,1,4,1,17,23,7,0,0,5000
444888,0,47,0,13,11.25,535,0,3,0,18,19,7,0,0,38000
61202,0,52,0,13,10.75,499,0,4,1,15,12,4,0,0,55000
627567,0,42,0,16,10.45,933,0,1,1,7,20,7,0,1,19000
304994,0,42,1,15,10.45,999,0,1,1,2,25,8,1,1,110000
823455,0,42,0,21,11.25,535,0,3,1,14,13,5,1,0,94000
640785,0,17,0,9,10.75,999,1,4,0,7,22,7,1,0,8000
56750,0,17,0,9,10.65,399,1,4,0,7,20,7,0,0,3000
217658,1,22,0,14,10.45,933,0,4,0,15,15,5,0,0,11000
300658,0,47,1,16,11.25,535,0,1,1,3,9,3,0,0,59000
197104,0,52,1,18,10.7,205,0,4,1,3,2,1,1,0,170000
508569,0,22,0,12,10.5,799,0,1,0,13,21,7,1,1,29000
643645,0,57,0,12,11.25,505,0,4,1,19,8,2,0,0,58000
84923,0,57,0,21,11.25,505,0,4,1,18,17,6,1,0,69000
801901,0,32,0,14,10.75,462,0,4,1,7,19,7,0,0,33000
452132,0,32,0,16,11.25,999,0,4,1,14,13,5,0,0,53000
458157,0,17,0,12,10.45,933,1,4,0,17,21,7,0,0,9000
661323,0,37,0,12,11.25,535,0,1,0,7,18,7,0,0,51000
279790,0,22,0,14,10.75,999,0,4,1,6,25,8,1,0,30000
726857,0,27,0,14,11.25,999,0,4,1,8,27,8,1,0,10000
36566,0,37,0,13,10.75,999,1,1,1,12,6,2,0,1,4000
659784,0,17,0,12,11.25,541,1,2,0,17,22,7,1,1,9000
699739,0,17,0,9,11.25,505,1,4,0,17,19,7,1,0,7000
448644,0,32,1,16,10.45,999,0,3,1,12,9,3,1,0,65000
904534,0,67,0,12,10.75,999,1,4,1,8,8,2,1,0,12000
450964,0,27,1,16,11.2,835,0,4,1,15,9,3,1,0,66000
843675,0,57,0,14,11.25,999,0,4,1,15,12,4,0,0,42000
791471,0,17,0,12,11.25,535,1,2,0,7,20,7,0,1,7000
774515,0,37,0,12,11.25,541,0,2,0,15,12,4,0,0,43000
446914,0,37,0,12,10.75,421,0,4,1,7,22,7,0,0,17000
118059,0,62,0,12,11.25,535,0,1,1,7,3,1,1,0,64000
123184,0,17,0,12,11.25,535,1,4,0,7,20,7,0,0,3000
914877,0,57,0,12,10.75,462,0,1,0,7,20,7,1,1,9000
524685,0,27,0,9,11.25,535,0,3,0,5,18,7,1,0,25000
631556,0,42,0,12,11.25,535,0,3,1,4,27,8,1,0,87000
140993,0,27,0,9,10.75,999,1,4,1,7,22,7,0,0,11000
523424,0,32,0,16,10.45,933,0,4,1,12,6,2,0,0,52000
548639,0,32,0,14,11.25,535,0,4,1,15,15,5,0,0,35000
274647,0,32,0,16,10.45,933,0,1,1,11,8,2,0,0,37000
826105,0,57,0,12,10.5,999,1,4,1,8,7,2,0,0,31000
906702,0,32,0,9,10.45,933,1,4,1,7,22,7,0,0,6000
680191,0,37,0,12,10.75,999,0,4,1,5,24,8,1,0,21000
239645,0,57,0,16,10.45,933,0,1,1,15,12,4,0,1,38000
468198,0,32,0,12,10.75,462,0,2,1,10,6,2,0,1,42000
606232,0,32,0,14,11.25,535,0,2,1,12,15,5,0,1,43000
519346,0,17,0,12,10.75,462,1,4,0,13,22,7,0,0,10000
404577,0,32,1,16,11.2,835,1,1,1,10,8,2,0,1,1
163424,0,27,0,14,11.25,541,1,4,0,15,15,5,0,0,30000
155154,0,32,0,12,11.25,541,0,4,1,8,23,7,0,0,24000
142396,0,47,0,18,10.45,933,0,1,1,4,1,1,1,0,600437
517273,0,27,0,14,11.25,535,0,1,1,15,6,2,0,1,24000
475775,0,42,0,17,10.75,462,0,1,1,12,5,2,1,1,37000
44657,0,42,0,13,10.75,462,0,4,1,7,19,7,1,0,56000
426103,0,52,0,13,11.25,535,0,1,1,6,22,7,1,1,42000
178511,0,22,0,12,11.25,505,0,2,0,17,88,88,1,1,30000
694576,0,32,0,14,10.45,933,0,3,1,9,17,6,0,0,75000
119730,0,37,0,12,10.45,933,0,1,1,17,3,1,1,1,58000
853211,0,32,0,18,10.75,462,0,1,1,19,6,2,0,1,36000
457308,0,27,0,9,10.75,999,0,4,1,17,19,7,0,0,6000
816237,0,57,0,14,10.75,462,1,4,0,14,7,2,1,0,7000
258568,0,27,0,9,11.2,999,0,4,1,2,28,9,1,0,77000
777155,0,57,0,12,10.65,399,0,4,1,13,88,88,0,0,14000
447658,0,52,1,16,11.25,535,0,1,1,12,9,3,1,0,120000
104548,0,62,0,12,11.25,999,0,4,0,15,8,2,0,0,35000
542061,0,22,0,12,10.75,462,1,1,0,7,3,1,1,0,23000
496897,0,52,0,9,11.25,999,0,4,1,7,25,8,1,0,38000
341661,0,47,0,13,10.75,462,1,4,1,18,19,7,0,0,2000
452607,0,17,0,12,11.25,535,1,4,0,18,23,7,1,1,5000
487084,0,52,1,14,10.45,933,0,1,0,7,22,7,0,1,8000
756819,0,32,1,18,10.75,462,0,1,1,5,9,3,1,1,70000
837389,0,32,0,18,10.65,399,0,4,1,15,11,4,0,0,53000
254610,0,27,0,12,10.7,205,0,4,1,15,12,4,1,0,43000
7839,0,22,0,9,11.25,537,1,3,1,7,18,7,1,0,17000
769173,0,27,0,12,11.25,537,0,4,1,5,29,10,1,0,29000
470551,0,57,0,12,10.75,462,0,1,1,15,16,5,0,0,8000
586479,0,47,0,12,11.25,999,1,4,0,15,23,7,0,0,24000
415890,0,42,0,14,10.45,999,0,4,1,15,15,5,0,0,17000
756502,0,32,0,14,11.25,535,0,1,0,10,5,2,0,1,36000
141767,0,57,0,16,11.25,537,0,4,1,5,21,7,0,0,50000
861333,0,52,0,13,10.75,462,0,1,0,7,12,4,0,1,29000
67458,0,37,0,14,11.25,999,0,4,0,7,18,7,0,0,26000
115571,0,27,1,15,11.25,555,1,4,0,7,26,8,1,0,17000
368768,0,37,1,16,11.25,532,0,3,1,16,17,6,1,1,43000
48096,0,57,0,12,10.45,933,0,4,1,6,20,7,1,0,72000
165976,1,42,0,9,10.45,933,0,4,1,8,6,2,0,0,53000
796066,0,52,0,14,10.75,999,1,4,1,17,23,7,1,0,5000
863164,0,47,0,14,10.7,205,0,4,0,5,88,88,0,0,19000
244881,0,27,0,12,10.45,999,0,4,1,12,8,2,0,0,13000
32748,0,52,0,12,11.25,555,0,4,1,8,27,8,1,0,78000
281756,0,32,0,14,11.2,825,0,4,1,12,6,2,0,0,14000
814414,1,62,0,9,11.25,999,0,4,1,16,28,9,1,0,37000
61775,0,42,0,14,10.75,462,0,4,0,6,6,2,0,0,40000
20319,0,27,0,15,11.2,825,0,1,1,17,23,7,0,1,25000
884408,0,47,0,9,10.5,999,1,4,1,17,21,7,0,0,17000
530270,0,42,0,16,10.75,462,0,1,1,12,7,2,1,1,19000
587813,0,32,0,12,11.25,999,0,4,1,19,16,5,1,0,68000
448993,0,37,0,12,10.75,421,1,4,1,7,22,7,1,0,19000
742183,0,27,1,16,11.25,535,0,1,0,12,14,5,1,0,67000
142960,0,32,0,12,10.45,933,0,4,0,13,8,2,0,0,32000
216195,1,32,0,17,11.2,825,0,4,1,19,14,5,1,0,130000
914522,0,52,0,12,10.75,462,0,3,1,5,20,7,1,0,58000
403324,1,37,0,9,10.75,999,0,4,1,19,23,7,1,0,90000
2954,0,52,0,17,10.75,421,1,4,1,15,14,5,0,0,55000
337279,0,32,1,16,10.75,462,0,2,1,6,18,7,0,1,110000
831988,1,57,0,9,10.45,999,0,4,1,1,28,9,1,0,9000
789201,0,32,0,9,11.25,535,0,1,1,8,6,2,0,1,34000
108148,0,37,0,12,10.75,999,0,1,1,4,26,8,1,1,23000
586677,0,22,0,9,10.75,999,0,4,1,7,25,8,1,0,26000
231803,0,62,0,14,11.25,535,0,1,1,15,12,4,0,1,39000
846593,1,22,0,14,11.2,999,0,4,1,15,8,2,0,0,49000
399424,0,47,0,12,11.25,537,1,2,1,7,20,7,0,0,14000
860020,0,32,0,12,11.25,535,1,1,1,6,23,7,0,1,24000
95166,0,62,0,12,10.75,462,0,4,1,19,16,5,1,0,96000
797813,0,22,0,12,11.25,999,0,4,1,7,20,7,0,0,8000
202585,1,22,0,12,10.45,999,1,4,1,17,23,7,1,0,8000
710514,0,57,0,9,10.75,462,0,2,1,17,23,7,1,0,35000
127862,0,47,0,12,11.2,825,1,1,0,18,21,7,0,1,16000
465170,1,32,0,14,11.2,999,0,4,1,13,14,5,0,0,45000
560896,0,32,0,12,11.25,535,0,1,0,13,26,8,1,1,27000
781671,0,22,0,12,11.25,577,1,1,0,14,88,88,1,1,6000
249620,0,27,0,16,11.2,999,0,1,1,17,19,7,0,1,37000
540140,0,42,1,0,11.2,825,0,3,0,12,9,3,1,0,120000
442177,0,52,0,16,10.45,933,0,1,1,15,12,4,0,1,46000
61814,0,42,1,18,11.25,535,0,1,1,7,2,1,1,0,1016596
168318,0,27,0,14,10.75,999,1,4,1,19,7,2,0,0,40000
786885,0,62,0,9,11.2,999,0,4,1,7,22,7,0,0,3000
891233,0,47,0,14,10.75,421,0,4,1,15,12,4,0,0,47000
339480,0,62,0,12,11.25,577,0,4,1,8,27,8,1,0,40000
280652,0,27,1,16,11.0,602,0,1,1,13,88,88,1,1,16000
701142,0,62,0,16,10.75,462,0,4,1,8,7,2,1,0,57000
107227,0,27,0,16,11.25,535,0,2,1,12,15,5,0,1,42000
486185,0,37,0,16,10.75,462,0,1,1,10,2,1,0,0,33000
430842,0,27,0,12,11.2,835,0,1,1,7,3,1,0,0,35000
205347,0,27,0,16,11.2,835,0,1,1,17,19,7,0,1,31000
343767,0,37,0,9,10.75,999,0,4,1,18,25,8,1,0,53000
477703,0,52,0,15,11.25,535,0,1,1,17,23,7,0,1,54000
877532,0,37,0,16,10.45,933,0,4,1,14,5,2,0,0,37000
136706,0,52,0,12,10.75,421,1,4,1,7,22,7,0,0,20000
47338,0,32,1,18,11.25,505,0,1,1,9,9,3,1,1,110000
160236,0,27,1,16,11.25,535,0,4,1,10,5,2,0,0,58000
438013,0,22,0,14,10.75,462,1,4,0,15,15,5,0,0,15000
724750,0,47,0,12,10.75,999,0,4,0,7,20,7,0,0,41000
669632,0,62,0,12,10.5,999,0,4,0,15,16,5,0,0,27000
135976,0,27,1,18,11.25,535,0,4,1,12,14,5,1,0,19000
519092,0,32,0,13,10.45,933,0,1,1,18,16,5,0,1,22000
196266,0,42,1,15,10.75,462,0,4,0,15,12,4,0,0,48000
769296,0,22,0,14,10.75,499,1,4,1,17,17,6,0,0,4000
70124,0,47,0,12,11.25,535,0,1,0,5,29,10,1,1,37000
832364,0,52,0,14,10.65,399,0,4,1,12,8,2,0,0,45000
144084,0,57,0,12,10.75,462,1,4,1,15,6,2,0,0,27000
481096,0,42,0,13,10.75,999,0,4,1,7,17,6,0,0,33000
359853,0,22,0,12,10.75,421,0,4,1,19,16,5,1,0,59000
37912,0,42,0,12,10.75,462,0,1,1,5,88,88,0,1,30000
531893,0,42,0,14,11.25,541,0,4,1,18,19,7,0,0,32000
659040,0,27,0,12,11.25,539,0,3,0,18,21,7,0,0,22000
55467,0,27,0,9,10.75,999,1,4,0,7,20,7,0,0,1000
452965,0,32,0,13,11.25,541,0,4,1,5,24,8,1,0,57000
786354,1,37,0,14,11.25,537,0,4,1,15,8,2,0,0,58000
320552,0,32,0,13,10.75,999,1,4,0,15,12,4,0,0,29000
418045,0,52,0,17,11.25,535,0,1,1,10,18,7,0,0,38000
44727,0,22,0,12,11.2,825,1,2,0,17,21,7,1,1,8000
414378,0,42,0,12,11.25,537,0,2,1,7,3,1,1,0,47000
613542,0,32,0,18,10.45,933,0,1,1,14,2,1,1,0,49000
863470,0,32,0,12,10.45,933,0,2,0,18,8,2,0,0,42000
106972,0,37,0,13,11.25,535,0,2,0,13,21,7,0,1,5000
833106,0,42,0,13,10.45,999,0,3,1,18,25,8,1,1,39000
690029,0,37,0,16,11.2,835,1,1,1,15,12,4,0,1,27000
346408,0,17,0,12,11.25,535,0,1,0,5,30,10,1,1,7000
422254,0,42,0,15,10.75,462,0,1,1,18,23,7,1,1,12000
492469,0,47,0,9,11.25,577,0,4,1,17,23,7,0,0,16000
863855,0,52,0,12,10.7,999,0,4,1,6,24,8,1,0,28000
259533,0,47,0,13,10.75,421,0,4,1,18,21,7,1,0,54000
459097,0,47,0,12,11.2,999,0,3,1,7,22,7,0,0,20000
550551,0,52,1,14,11.25,537,0,1,1,14,10,3,1,1,71000
6295,0,32,0,13,10.45,935,0,4,1,5,29,10,1,0,71000
321978,0,47,0,9,10.75,462,0,1,0,13,30,10,0,1,30000
460126,0,27,1,16,10.45,933,1,4,1,18,23,7,1,0,13000
773206,0,27,0,12,11.2,999,0,1,1,1,28,9,1,0,64000
900529,0,42,0,14,11.25,599,0,4,1,15,11,4,0,0,54000
687407,0,67,0,16,11.25,999,0,4,1,15,6,2,0,0,69000
60094,0,27,0,16,11.25,535,0,2,1,8,3,1,0,0,110000
226045,0,22,0,12,10.45,933,1,4,0,5,30,10,1,0,29000
875241,0,37,1,14,11.2,825,0,1,1,15,12,4,1,1,78000
514716,0,37,0,16,11.25,535,0,1,1,6,3,1,1,1,52000
15383,0,17,0,12,11.2,999,0,4,0,7,25,8,1,0,30000
819987,0,22,0,9,10.75,505,1,4,0,17,27,8,1,0,8000
857553,0,52,0,13,11.2,825,0,1,1,7,22,7,0,1,24000
593484,0,52,0,9,11.25,535,1,1,1,13,23,7,0,1,20000
606071,1,32,0,14,11.25,505,1,4,1,7,12,4,0,0,14000
270250,1,22,0,12,11.0,602,0,4,1,17,24,8,1,0,20000
912744,0,47,0,12,10.45,933,0,4,1,18,25,8,1,0,67000
58235,0,57,0,9,11.25,535,0,1,0,15,12,4,0,1,33000
182608,0,62,1,14,10.75,462,0,4,1,5,17,6,1,0,11000
666464,0,27,0,9,11.2,825,0,4,1,4,24,8,1,0,87000
464120,0,22,0,14,11.25,999,1,4,0,16,8,2,0,0,10000
166193,0,22,0,14,10.45,933,0,1,0,7,20,7,1,0,18000
514017,0,27,0,16,10.45,935,0,3,1,7,3,1,1,0,43000
51854,0,37,0,16,10.45,933,0,1,1,15,15,5,0,1,33000
787077,0,47,0,12,10.5,999,0,1,1,88,88,88,1,0,61000
68708,0,42,0,9,10.75,462,0,1,1,5,30,10,0,0,24000
156938,0,32,0,16,11.25,555,0,4,1,15,11,4,0,0,89000
918797,0,42,0,9,11.25,535,0,1,0,13,3,1,0,1,33000
194212,0,32,0,12,10.75,999,0,4,1,5,29,10,1,0,40000
656673,0,32,0,14,10.45,999,0,4,1,15,8,2,0,0,22000
569982,0,47,0,12,11.25,535,0,2,1,7,20,7,0,0,32000
463261,1,27,0,12,11.25,999,0,4,1,15,23,7,1,0,18000
396911,0,42,0,14,10.75,462,0,1,0,13,21,7,0,1,39000
352975,0,27,0,16,10.45,933,0,4,1,17,6,2,1,0,6000
512090,0,22,1,14,10.75,499,0,4,1,15,12,4,0,0,10000
124905,0,37,0,16,10.75,462,0,1,1,5,5,2,1,1,43000
233696,0,37,0,9,11.2,835,0,4,0,17,19,7,1,0,14000
555222,0,57,0,9,10.75,462,0,1,1,5,30,10,1,1,13000
8070,0,27,0,15,11.2,835,0,4,1,6,6,2,0,0,58000
237393,0,22,0,12,10.7,205,0,4,0,19,28,9,1,0,10000
412018,1,27,0,9,10.45,999,0,4,1,7,22,7,0,0,6000
691530,0,37,0,14,11.0,602,0,1,1,15,12,4,0,1,55000
776962,0,27,0,18,11.25,535,0,4,1,15,14,5,1,0,69000
611024,0,22,0,16,10.45,933,0,4,1,12,17,6,0,0,17000
