Education,Experience,Income
4,2,44000
4,3,50000
4,3,49000
4,3,71000
4,3,63000
4,3,55000
4,3,57000
4,3,56000
4,3,59000
4,3,62000
4,3,54000
4,3,57000
4,3,54000
4,3,55000
4,3,57000
4,3,61000
4,3,54000
4,3,46000
4,3,43000
4,3,63000
4,3,52000
4,3,55000
4,3,59000
4,3,56000
4,4,56000
4,4,49000
4,4,69000
4,4,63000
4,4,58000
4,4,59000
4,4,55000
4,4,63000
4,4,66000
4,4,60000
4,4,50000
4,4,53000
4,4,61000
4,4,54000
4,4,53000
4,5,55000
4,5,65000
4,5,63000
4,5,62000
4,5,59000
4,5,65000
4,5,65000
4,5,67000
4,5,62000
4,5,78000
4,5,58000
4,5,64000
4,5,72000
4,5,81000
4,6,75000
4,6,64000
4,6,66000
4,6,65000
4,6,77000
4,6,88000
4,6,82000
4,7,80000
4,7,75000
4,7,94000
4,7,114000
4,7,65000
4,7,72000
4,7,79000
4,7,88000
4,7,67000
4,8,80000
4,8,85000
4,8,129000
4,8,83000
4,8,92000
4,8,97000
4,8,99000
4,8,84000
4,9,91000
4,9,100000
4,9,105000
4,9,92000
4,9,89000
4,9,87000
4,9,96000
4,10,92000
4,10,95000
4,10,138000
4,10,99000
4,10,89000
4,10,95000
4,10,97000
4,11,149000
4,11,107000
4,11,91000
4,11,102000
4,12,92000
4,12,111000
4,12,86000
4,12,90000
4,12,81000
4,13,105000
4,13,119000
4,13,99000
4,13,108000
4,14,124000
4,14,106000
4,14,105000
4,14,99000
4,15,143000
4,15,121000
4,16,108000
4,16,156000
4,16,100000
4,16,99000
4,16,112000
4,16,117000
4,16,102000
4,16,94000
4,16,100000
4,17,130000
4,17,118000
4,19,134000
4,19,138000
4,20,118000
4,20,173000
4,20,138000
4,21,144000
4,21,158000
4,21,143000
4,22,195000
4,22,145000
4,22,159000
4,22,137000
4,22,109000
4,23,138000
4,23,203000
4,24,189000
4,24,125000
4,25,257000
4,26,187000
4,28,199000
4,32,167000
4,34,229000
5,0,54000
5,0,49000
5,0,63000
5,0,56000
5,1,55000
5,1,64000
5,1,63000
5,1,52000
5,1,47000
5,1,58000
5,1,72000
5,1,61000
5,1,68000
5,1,62000
5,2,66000
5,2,48000
5,2,56000
5,2,59000
5,2,53000
5,2,58000
5,2,55000
5,2,68000
5,2,62000
5,2,71000
5,3,60000
5,3,54000
5,3,67000
5,3,73000
5,3,67000
5,3,69000
5,3,70000
5,3,83000
5,3,61000
5,3,56000
5,3,70000
5,3,64000
5,3,69000
5,4,69000
5,4,69000
5,4,76000
5,4,84000
5,4,73000
5,4,67000
5,4,71000
5,4,66000
5,4,69000
5,4,75000
5,4,68000
5,4,73000
5,4,58000
5,5,72000
5,5,88000
5,5,70000
5,5,67000
5,5,85000
5,5,87000
5,5,73000
5,5,77000
5,6,74000
5,6,69000
5,6,92000
5,6,85000
5,6,81000
5,6,75000
5,6,72000
5,6,91000
5,6,84000
5,7,86000
5,7,92000
5,7,77000
5,7,109000
5,7,81000
5,7,92000
5,7,73000
5,8,88000
5,8,116000
5,8,73000
5,8,108000
5,9,104000
5,9,132000
5,9,129000
5,9,97000
5,10,94000
5,10,154000
5,10,109000
5,11,99000
5,11,114000
5,11,162000
5,12,119000
5,12,185000
5,12,108000
5,14,135000
5,14,128000
5,14,104000
5,14,183000
5,14,149000
5,15,128000
5,15,198000
5,16,145000
5,16,166000
5,16,225000
5,16,159000
5,16,173000
5,17,159000
5,17,192000
5,17,157000
5,18,267000
5,19,225000
5,20,214000
5,20,188000
5,21,182000
5,22,287000
5,24,230000
5,27,289000
5,31,224000
5,39,259000
6,0,62000
6,1,60000
6,1,71000
6,2,66000
6,2,59000
6,2,74000
6,2,69000
6,3,73000
6,4,79000
6,6,93000
6,6,102000
6,6,97000
6,8,101000
6,9,107000
6,9,132000
6,12,189000
6,15,184000
6,16,202000
6,22,192000
7,1,83000
7,1,132000
7,2,94000
7,2,104000
7,3,111000
7,4,154000
7,6,135000
7,6,108000
7,8,183000
7,9,154000
7,12,188000
7,13,146000
7,15,214000
8,2,156000
8,3,134000
8,6,182000
8,9,285000
8,11,349000
8,18,365000
9,3,212000
9,8,307000
9,11,332000
9,20,485000
10,4,283000
10,7,344000
10,13,432000
